epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.2145,0.7441140413284302,0.63,0.63,0.6045832739421093
2.0,0.7351,0.43128401041030884,0.846,0.846,0.8157893153818452
3.0,0.5161,0.6433711051940918,0.778,0.778,0.7402071793869106
4.0,0.3803,0.8644925355911255,0.772,0.772,0.7409268504574837
5.0,0.2497,1.0911064147949219,0.744,0.744,0.7079313049829842
6.0,0.1244,1.329354166984558,0.734,0.734,0.6967381580679519
7.0,0.0831,1.561792254447937,0.728,0.728,0.6914428980020377
8.0,0.0491,1.6213457584381104,0.726,0.726,0.6888409727436303
