epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.9957,0.7037802934646606,0.76,0.76,0.7480728602502894
2.0,0.151,0.4281150996685028,0.852,0.852,0.8021892177547661
3.0,0.0568,1.1865720748901367,0.754,0.754,0.7048048190431064
4.0,0.0227,0.5818277597427368,0.866,0.866,0.8105876213205379
5.0,0.0013,0.662727415561676,0.856,0.856,0.7896281609173308
6.0,0.0004,0.6989686489105225,0.856,0.856,0.7896281609173308
7.0,0.0004,0.7057895064353943,0.856,0.856,0.7896281609173308
8.0,0.0003,0.7088082432746887,0.856,0.856,0.7896281609173308
