epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.1569,0.7135030627250671,0.782,0.782,0.6961822445033456
2.0,0.4865,0.6470194458961487,0.798,0.798,0.7578909596833975
3.0,0.345,0.3954540491104126,0.88,0.88,0.8276633009623836
4.0,0.2414,0.3936457931995392,0.886,0.886,0.8394615374067429
5.0,0.1447,0.4215908944606781,0.88,0.88,0.8360393242923018
6.0,0.0696,0.5216717720031738,0.876,0.876,0.8323695457216579
7.0,0.0668,0.5103053450584412,0.876,0.876,0.8341698107621008
8.0,0.0484,0.50446617603302,0.884,0.884,0.845011435079572
