epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.994,0.42243677377700806,0.88,0.88,0.817051225604052
2.0,0.4883,0.3254210948944092,0.896,0.896,0.8479085369829198
3.0,0.36,0.3377006947994232,0.908,0.908,0.8649056848682484
4.0,0.218,0.3561052083969116,0.894,0.894,0.8621102998338829
5.0,0.1349,0.33890625834465027,0.906,0.906,0.8719223478189269
6.0,0.0638,0.3880365788936615,0.908,0.908,0.8675648230263315
7.0,0.0374,0.4419104754924774,0.904,0.904,0.8692291038759519
8.0,0.0213,0.43682029843330383,0.908,0.908,0.8723049589487718
