epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.2525,0.49277594685554504,0.904,0.904,0.8486706815706773
2.0,0.5969,0.30044859647750854,0.912,0.912,0.8723663755061822
3.0,0.3999,0.31614336371421814,0.91,0.91,0.8757583712464534
4.0,0.2656,0.46125370264053345,0.864,0.864,0.8296050089654741
5.0,0.1644,0.4330495595932007,0.882,0.882,0.8465094337672971
6.0,0.0796,0.5290200114250183,0.86,0.86,0.8298104421676098
7.0,0.0358,0.48020878434181213,0.892,0.892,0.8583255026906389
8.0,0.0223,0.5154446363449097,0.874,0.874,0.8407333281311482
