epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.7838,0.9799767732620239,0.644,0.644,0.6068485370305756
2.0,0.175,0.9557724595069885,0.692,0.692,0.6491180490923277
3.0,0.1428,0.9070839881896973,0.768,0.768,0.738193554375948
4.0,0.0604,1.1196340322494507,0.77,0.77,0.7182715540610736
5.0,0.0148,1.034927248954773,0.782,0.782,0.7299034529761619
6.0,0.0051,1.4113410711288452,0.74,0.74,0.6863577054125835
7.0,0.0014,1.2543610334396362,0.77,0.77,0.7150766075802335
8.0,0.0008,1.2254103422164917,0.776,0.776,0.7198600471644868
