epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.0295,0.3434145450592041,0.884,0.884,0.8052353827824301
2.0,0.3776,0.4285341501235962,0.856,0.856,0.7956151170016617
3.0,0.2875,0.38728252053260803,0.878,0.878,0.8316184129542397
4.0,0.1022,0.4523380398750305,0.886,0.886,0.8416235481176058
5.0,0.0495,0.5749330520629883,0.892,0.892,0.8439621963419496
6.0,0.0427,0.538313090801239,0.9,0.9,0.8505339010410005
7.0,0.003,0.5505129098892212,0.898,0.898,0.8488636859081973
8.0,0.0021,0.5501810312271118,0.898,0.898,0.8475522292899789
