epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.028,0.9622520208358765,0.578,0.578,0.5581155484492931
2.0,0.4944,0.9582446217536926,0.616,0.616,0.589481345858015
3.0,0.3583,0.8546776175498962,0.698,0.698,0.6587203671133974
4.0,0.2473,1.113757610321045,0.606,0.606,0.5804021079546505
5.0,0.1654,1.0018640756607056,0.646,0.646,0.6249994025664265
6.0,0.1982,1.2822102308273315,0.598,0.598,0.5696914634786198
7.0,0.1122,1.3915739059448242,0.6,0.6,0.5718896832848274
8.0,0.0924,1.4646660089492798,0.608,0.608,0.577089197765262
