epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.6874,1.4981745481491089,0.584,0.584,0.5535787512146644
2.0,0.0244,2.02211332321167,0.658,0.658,0.6443849941496125
3.0,0.0014,3.1069014072418213,0.596,0.596,0.551640440018704
4.0,0.0122,3.434765100479126,0.58,0.58,0.5354592627636152
5.0,0.0003,3.522064447402954,0.584,0.584,0.5351723845512666
6.0,0.0002,3.4783413410186768,0.59,0.59,0.5418046882162748
7.0,0.0002,3.494536876678467,0.59,0.59,0.5418046882162748
8.0,0.0002,3.5010454654693604,0.59,0.59,0.5418046882162748
