epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.7075,1.630981206893921,0.494,0.494,0.4995389576791651
2.0,0.0351,2.8476016521453857,0.558,0.558,0.5333343009507205
3.0,0.0013,2.736335515975952,0.592,0.592,0.5731554859245079
4.0,0.0005,2.799564838409424,0.596,0.596,0.5845751740911582
5.0,0.0003,2.926577091217041,0.594,0.594,0.5821491017620744
6.0,0.0003,3.0085337162017822,0.592,0.592,0.5777950310559006
7.0,0.0003,3.0404841899871826,0.592,0.592,0.5777950310559006
8.0,0.0003,3.053041934967041,0.592,0.592,0.576730867988658
