epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.9224,1.2401376962661743,0.628,0.628,0.583565656863739
2.0,0.1634,2.2532968521118164,0.628,0.628,0.5985416832058713
3.0,0.0703,2.4418675899505615,0.568,0.568,0.5551046972269383
4.0,0.0608,2.5480990409851074,0.632,0.632,0.5897691618051774
5.0,0.0147,2.6898977756500244,0.616,0.616,0.5838791433314943
6.0,0.0201,2.4195895195007324,0.638,0.638,0.6079390191017383
7.0,0.0006,2.7937636375427246,0.628,0.628,0.5946970201288685
8.0,0.0064,2.815683603286743,0.626,0.626,0.594045999317882
