epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.7181,1.4008034467697144,0.42,0.42,0.4426147171281978
2.0,0.0342,1.6758350133895874,0.644,0.644,0.6250468999953408
3.0,0.0007,3.0972843170166016,0.588,0.588,0.5311543412775208
4.0,0.0004,3.083697557449341,0.598,0.598,0.5539640695158539
5.0,0.0003,3.1007421016693115,0.6,0.6,0.5581693196476956
6.0,0.0002,3.115799903869629,0.6,0.6,0.5581693196476956
7.0,0.0002,3.131981611251831,0.6,0.6,0.5581693196476956
8.0,0.0002,3.138719320297241,0.6,0.6,0.5581693196476956
