epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.8645,0.6872539520263672,0.738,0.738,0.7232245432382596
2.0,0.0981,0.8443180322647095,0.768,0.768,0.7242491742545683
3.0,0.0399,0.7074105739593506,0.844,0.844,0.7794856621611008
4.0,0.0034,0.7720717787742615,0.866,0.866,0.8013333917769789
5.0,0.0006,0.8583564162254333,0.86,0.86,0.7953169322748254
6.0,0.0004,0.9319321513175964,0.85,0.85,0.782298816200119
7.0,0.0003,0.9304936528205872,0.854,0.854,0.7861357030675304
8.0,0.0003,0.933329701423645,0.854,0.854,0.7861357030675304
