epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.0455,1.0251445770263672,0.51,0.51,0.3789745083784959
2.0,0.6442,0.8782638907432556,0.572,0.572,0.4819787744048955
3.0,0.4607,0.6210311055183411,0.758,0.758,0.689625025356941
4.0,0.2922,0.7257492542266846,0.714,0.714,0.6326003630865531
5.0,0.1934,0.7945418953895569,0.704,0.704,0.6186792000173069
6.0,0.1057,0.8375396728515625,0.722,0.722,0.6336899270357779
7.0,0.0482,1.01591956615448,0.7,0.7,0.6138419432678937
8.0,0.0312,1.094444990158081,0.698,0.698,0.6186937537539677
