epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.3048,1.667600393295288,0.222,0.222,0.17506775067750677
2.0,1.0463,1.7868859767913818,0.138,0.138,0.0786079316741923
3.0,1.0143,1.8246147632598877,0.188,0.188,0.13139870223503963
4.0,0.9284,1.862768292427063,0.148,0.148,0.09100488633949437
5.0,0.9324,1.7843064069747925,0.184,0.184,0.13116900813687232
6.0,0.8124,1.72377347946167,0.258,0.258,0.17982488384402753
7.0,0.7432,1.7785485982894897,0.198,0.198,0.1516088486676722
8.0,0.7033,1.799828290939331,0.2,0.2,0.15524164698005957
