epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.0372,1.0028005838394165,0.564,0.564,0.4976695102229685
2.0,0.6534,1.1499927043914795,0.544,0.544,0.4534460767586242
3.0,0.4693,1.2181575298309326,0.546,0.546,0.44245558604251545
4.0,0.2914,1.0592809915542603,0.608,0.608,0.5482166834153714
5.0,0.1692,1.43462073802948,0.564,0.564,0.4945085520801498
6.0,0.0881,1.6599889993667603,0.554,0.554,0.4831859806019279
7.0,0.0386,1.7735451459884644,0.56,0.56,0.48422650682911217
8.0,0.0213,1.8550946712493896,0.556,0.556,0.4778363100586981
