epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.2525,0.9779688715934753,0.74,0.74,0.43053763555517643
2.0,0.5637,0.46228110790252686,0.89,0.89,0.8156409932915696
3.0,0.2226,0.31842532753944397,0.914,0.914,0.8705968120986918
4.0,0.1094,0.4279120862483978,0.91,0.91,0.8642065436687241
5.0,0.0594,0.49052050709724426,0.912,0.912,0.8678614775933544
6.0,0.0293,0.5381544828414917,0.918,0.918,0.8691329960129572
7.0,0.0373,0.5004957318305969,0.918,0.918,0.873181906121067
8.0,0.0183,0.49833062291145325,0.916,0.916,0.8695082086562512
