epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.9592,0.3030947744846344,0.916,0.916,0.8739746860716529
2.0,0.241,0.32717737555503845,0.906,0.906,0.849981694585586
3.0,0.0955,0.3962354063987732,0.92,0.92,0.8763927361416133
4.0,0.0585,0.5026221871376038,0.916,0.916,0.8655034575046067
5.0,0.0395,0.5281814932823181,0.912,0.912,0.8679481650539678
6.0,0.03,0.5559329390525818,0.91,0.91,0.8606880615422072
7.0,0.0049,0.5057875514030457,0.918,0.918,0.8780571972040427
8.0,0.0007,0.5119057893753052,0.92,0.92,0.8818120210542947
