epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.7681,1.785564661026001,0.48,0.48,0.46430150542162335
2.0,0.0171,2.6673011779785156,0.588,0.588,0.5312163907916948
3.0,0.0007,2.8336756229400635,0.62,0.62,0.5827498799976502
4.0,0.0004,3.024522304534912,0.616,0.616,0.5760962204248283
5.0,0.0003,3.0995121002197266,0.61,0.61,0.5653454898108011
6.0,0.0003,3.1548099517822266,0.61,0.61,0.5653454898108011
7.0,0.0003,3.180859088897705,0.61,0.61,0.5658350369977195
8.0,0.0003,3.1892881393432617,0.61,0.61,0.5658350369977195
