epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.9208,0.3071681559085846,0.906,0.906,0.8625085835270934
2.0,0.2239,0.4528582692146301,0.896,0.896,0.8271423404373568
3.0,0.1375,0.3542281985282898,0.916,0.916,0.8686917097631384
4.0,0.0585,0.43658408522605896,0.924,0.924,0.8849795949659437
5.0,0.0197,0.5270335078239441,0.916,0.916,0.8791868557391702
6.0,0.0058,0.5303254127502441,0.914,0.914,0.8713463578285525
7.0,0.001,0.5328609347343445,0.92,0.92,0.8823853328446829
8.0,0.0007,0.5382016897201538,0.922,0.922,0.8846044882967884
