epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,0.5371,2.3605704307556152,0.372,0.372,0.13556851311953352
2.0,0.3778,3.336320638656616,0.372,0.372,0.13556851311953352
3.0,0.3506,3.1001646518707275,0.372,0.372,0.13556851311953352
4.0,0.3248,2.2215588092803955,0.372,0.372,0.13556851311953352
5.0,0.2893,3.3320248126983643,0.372,0.372,0.13556851311953352
6.0,0.2633,3.0762040615081787,0.372,0.372,0.13556851311953352
7.0,0.2015,3.613680362701416,0.372,0.372,0.13556851311953352
8.0,0.2085,3.757242202758789,0.372,0.372,0.13556851311953352
