epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.1395,0.5497791767120361,0.868,0.868,0.815470748990302
2.0,0.6274,0.4782310128211975,0.84,0.84,0.7499330503305606
3.0,0.4524,0.5013871192932129,0.806,0.806,0.7647419482214739
4.0,0.3238,0.41086602210998535,0.864,0.864,0.8222025861615124
5.0,0.2404,0.49346601963043213,0.828,0.828,0.7846713249586498
6.0,0.1608,0.46288251876831055,0.84,0.84,0.7990863540694333
7.0,0.1252,0.5326018333435059,0.826,0.826,0.7852363686831769
8.0,0.0935,0.5031284689903259,0.834,0.834,0.7899633670809552
