epoch,train_loss,eval_loss,eval_accuracy,eval_f1_micro,eval_f1_macro
1.0,1.1869,0.651175320148468,0.668,0.668,0.6507324095868308
2.0,0.7459,0.4595169126987457,0.854,0.854,0.8148291230238727
3.0,0.5112,0.5968201160430908,0.806,0.806,0.7659392333949652
4.0,0.3336,0.9359669089317322,0.756,0.756,0.7196897207304277
5.0,0.1773,1.213943600654602,0.73,0.73,0.6930245236772365
6.0,0.0929,1.5427275896072388,0.728,0.728,0.6912843208164527
7.0,0.0479,1.8100600242614746,0.716,0.716,0.679417786150961
8.0,0.0287,1.838232398033142,0.72,0.72,0.6831421320602736
